,value,col,row
0,1.0,DC,DC
1,0.8686977586017947,month,DC
2,0.6821916119833166,DMC,DC
3,0.49620805310522964,temp,DC
4,-0.039191647189482676,RH,DC
5,0.33051179520454244,FFMC,DC
6,0.2291541690881884,ISI,DC
7,-0.20346569092971836,wind,DC
8,0.03586086198009625,rain,DC
9,-0.08591612292922376,X,DC
10,0.8686977586017947,DC,month
11,1.0,month,month
12,0.4666452517906218,DMC,month
13,0.3688415053584638,temp,month
14,-0.09528038433200842,RH,month
15,0.2914767710905287,FFMC,month
16,0.18659697418689347,ISI,month
17,-0.08636796530413297,wind,month
18,0.01343812906381558,rain,month
19,-0.06500303238573897,X,month
20,0.6821916119833166,DC,DMC
21,0.4666452517906218,month,DMC
22,1.0,DMC,DMC
23,0.4695938443360306,temp,DMC
24,0.0737949411057815,RH,DMC
25,0.3826188000494296,FFMC,DMC
26,0.30512783486978307,ISI,DMC
27,-0.10534225273531543,wind,DMC
28,0.07478998218143794,rain,DMC
29,-0.048384178110027716,X,DMC
30,0.49620805310522964,DC,temp
31,0.3688415053584638,month,temp
32,0.4695938443360306,DMC,temp
33,1.0,temp,temp
34,-0.5273903386376707,RH,temp
35,0.4315322591786201,FFMC,temp
36,0.3942871042080057,ISI,temp
37,-0.2271162203706695,wind,temp
38,0.06949054662170356,rain,temp
39,-0.05125826189682821,X,temp
40,-0.039191647189482676,DC,RH
41,-0.09528038433200842,month,RH
42,0.0737949411057815,DMC,RH
43,-0.5273903386376707,temp,RH
44,1.0,RH,RH
45,-0.3009954160617394,FFMC,RH
46,-0.13251717724923437,ISI,RH
47,0.0694100671560726,wind,RH
48,0.09975122334314504,rain,RH
49,0.08522319351659563,X,RH
50,0.33051179520454244,DC,FFMC
51,0.2914767710905287,month,FFMC
52,0.3826188000494296,DMC,FFMC
53,0.4315322591786201,temp,FFMC
54,-0.3009954160617394,RH,FFMC
55,1.0,FFMC,FFMC
56,0.5318049310435652,ISI,FFMC
57,-0.02848480923044134,wind,FFMC
58,0.05670153306263109,rain,FFMC
59,-0.02103927195447126,X,FFMC
60,0.2291541690881884,DC,ISI
61,0.18659697418689347,month,ISI
62,0.30512783486978307,DMC,ISI
63,0.3942871042080057,temp,ISI
64,-0.13251717724923437,RH,ISI
65,0.5318049310435652,FFMC,ISI
66,1.0,ISI,ISI
67,0.1068258879233506,wind,ISI
68,0.06766818992582692,rain,ISI
69,0.006209940733411664,X,ISI
70,-0.20346569092971836,DC,wind
71,-0.08636796530413297,month,wind
72,-0.10534225273531543,DMC,wind
73,-0.2271162203706695,temp,wind
74,0.0694100671560726,RH,wind
75,-0.02848480923044134,FFMC,wind
76,0.1068258879233506,ISI,wind
77,1.0,wind,wind
78,0.06111888020217675,rain,wind
79,0.018797818391806973,X,wind
80,0.03586086198009625,DC,rain
81,0.01343812906381558,month,rain
82,0.07478998218143794,DMC,rain
83,0.06949054662170356,temp,rain
84,0.09975122334314504,RH,rain
85,0.05670153306263109,FFMC,rain
86,0.06766818992582692,ISI,rain
87,0.06111888020217675,wind,rain
88,1.0,rain,rain
89,0.06538716763446119,X,rain
90,-0.08591612292922376,DC,X
91,-0.06500303238573897,month,X
92,-0.048384178110027716,DMC,X
93,-0.05125826189682821,temp,X
94,0.08522319351659563,RH,X
95,-0.02103927195447126,FFMC,X
96,0.006209940733411664,ISI,X
97,0.018797818391806973,wind,X
98,0.06538716763446119,rain,X
99,1.0,X,X
