,DC,month,DMC,temp,RH,FFMC,ISI,wind,rain,X
0,94.3,3,26.2,8.2,51,86.2,5.1,6.7,0.0,7
1,669.1,10,35.4,18.0,33,90.6,6.7,0.9,0.0,7
2,686.9,10,43.7,14.6,33,90.6,6.7,1.3,0.0,7
3,77.5,3,33.3,8.3,97,91.7,9.0,4.0,0.2,8
4,102.2,3,51.3,11.4,99,89.3,9.6,1.8,0.0,8
5,488.0,8,85.3,22.2,29,92.3,14.7,5.4,0.0,8
6,495.6,8,88.9,24.1,27,92.3,8.5,3.1,0.0,8
7,608.2,8,145.4,8.0,86,91.5,10.7,2.2,0.0,8
8,692.6,9,129.5,13.1,63,91.0,7.0,5.4,0.0,8
9,698.6,9,88.0,22.8,40,92.5,7.1,4.0,0.0,7
10,698.6,9,88.0,17.8,51,92.5,7.1,7.2,0.0,7
11,713.0,9,73.2,19.3,38,92.8,22.6,4.0,0.0,7
12,665.3,8,70.8,17.0,72,63.5,0.8,6.7,0.0,6
13,686.5,9,126.5,21.3,42,90.9,7.0,2.2,0.0,6
14,699.6,9,133.3,26.4,21,92.9,9.2,4.5,0.0,6
15,713.9,9,141.2,22.9,44,93.3,13.9,5.4,0.0,6
16,80.8,3,35.8,15.1,27,91.7,7.8,5.4,0.0,5
17,664.2,10,32.8,16.7,47,84.9,3.0,4.9,0.0,8
18,70.8,3,27.9,15.9,35,89.2,6.3,4.0,0.0,6
19,97.1,4,27.4,9.3,44,86.3,5.1,4.5,0.0,6
20,692.6,9,129.5,18.3,40,91.0,7.0,2.7,0.0,6
21,724.3,9,78.5,19.1,38,91.8,9.2,2.7,0.0,5
22,200.0,6,96.3,21.0,44,94.3,56.1,4.5,0.0,7
23,537.4,8,110.9,19.5,43,90.2,6.2,5.8,0.0,7
24,594.2,8,139.4,23.7,32,93.5,20.3,5.8,0.0,7
25,601.4,8,142.4,16.3,60,91.4,10.6,5.4,0.0,7
26,668.0,9,117.9,19.0,34,92.4,12.2,5.8,0.0,7
27,686.5,9,126.5,19.4,48,90.9,7.0,1.3,0.0,7
28,721.4,9,145.4,30.2,24,93.4,8.1,2.7,0.0,6
29,728.6,9,149.3,22.8,39,93.5,8.1,3.6,0.0,6
30,692.3,9,85.1,25.4,24,94.3,15.9,3.6,0.0,6
31,709.9,9,91.8,11.2,78,88.6,7.1,7.6,0.0,6
32,706.8,9,69.7,20.6,37,88.6,5.8,1.8,0.0,6
33,718.3,9,75.6,17.7,39,91.7,7.8,3.6,0.0,6
34,724.3,9,78.5,21.2,32,91.8,9.2,2.7,0.0,6
35,730.2,9,80.7,18.2,62,90.3,6.3,4.5,0.0,6
36,669.1,10,35.4,21.7,24,90.6,6.7,4.5,0.0,6
37,682.6,10,41.5,11.3,60,90.0,8.7,5.4,0.0,7
38,686.9,10,43.7,17.8,27,90.6,6.7,4.0,0.0,7
39,67.6,3,25.7,14.1,43,88.1,3.8,2.7,0.0,4
40,366.7,7,60.6,23.3,37,79.5,1.5,3.1,0.0,4
41,624.2,8,96.9,18.4,42,90.2,8.9,6.7,0.0,4
42,647.1,8,108.3,16.6,54,94.8,17.0,5.4,0.0,4
